Date,Open,High,Low,Close,Adj Close,Volume
2022-01-19,82.389999,82.800003,80.709999,81.629997,81.629997,3083800
2022-01-20,81.589996,85.150002,80.919998,81.180000,81.180000,5003800
2022-01-21,80.830002,80.959999,77.550003,79.089996,79.089996,5059300
2022-01-24,77.120003,78.900002,73.470001,78.730003,78.730003,5615500
2022-01-25,77.550003,80.660004,75.889999,80.169998,80.169998,4118500
2022-01-26,81.500000,83.930000,80.389999,81.110001,81.110001,4343500
2022-01-27,81.879997,82.279999,75.489998,75.970001,75.970001,4027600
2022-01-28,75.669998,76.449997,71.910004,74.519997,74.519997,5426500
2022-01-31,74.250000,77.949997,72.750000,77.809998,77.809998,3954600
2022-02-01,77.940002,81.830002,77.769997,81.230003,81.230003,4679000
2022-02-02,80.739998,81.959999,79.720001,81.239998,81.239998,3430300
2022-02-03,80.449997,81.230003,78.989998,79.360001,79.360001,4822300
2022-02-04,78.139999,78.690002,74.910004,75.580002,75.580002,8205700
2022-02-07,76.720001,82.879997,76.720001,81.959999,81.959999,6927600
2022-02-08,83.419998,86.570000,82.019997,86.279999,86.279999,6361900
2022-02-09,87.000000,89.599998,86.980003,88.050003,88.050003,5728700
2022-02-10,87.360001,90.550003,86.760002,87.830002,87.830002,5284700
2022-02-11,88.129997,89.489998,83.779999,83.959999,83.959999,5555600
2022-02-14,84.410004,86.190002,82.570000,82.750000,82.750000,4028400
2022-02-15,85.660004,86.900002,83.820000,86.269997,86.269997,3551400
